"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Domestic and international itinerant movements, by type of operation, airports with NAV CANADA flight service stations, annual",23100031,401-0036,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310003101",2,"CURRENT - a cube available to the public and that is current",Annual,1997-01-01,2018-01-01,4

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Airports,,
3,"Domestic and international itinerant movements",1,
4,"Type of operation",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
2,"Total, all airports",,1,,,,
2,"Baker Lake, Nunavut",,2,1,t,,
2,"Brandon Municipal, Manitoba",,3,1,,,
2,"Campbell River, British Columbia",,4,1,,,
2,"Castlegar, British Columbia",,5,1,,,
2,"Charlo, New Brunswick",,6,1,t,,
2,"Charlottetown, Prince Edward Island",,7,1,,,
2,"Churchill, Manitoba",,8,1,,,
2,"Cranbrook, British Columbia",,9,1,,,
2,"Dawson Creek, British Columbia",,10,1,t,,
2,"Deer Lake, Newfoundland and Labrador",,11,1,,,
2,"Fort McMurray, Alberta",,12,1,t,,
2,"Fort Nelson, British Columbia",,13,1,,,
2,"Fort Simpson, Northwest Territories",,14,1,t,,
2,"Fort Smith, Northwest Territories",,15,1,t,,
2,"Fort St. John, British Columbia",,16,1,,,
2,"Fredericton International, New Brunswick",,17,1,t,,
2,"Gaspé, Quebec",,18,1,t,,
2,"Grande Prairie, Alberta",,19,1,,,
2,"Hay River, Northwest Territories",,20,1,t,,
2,"High Level, Alberta",,21,1,,,
2,"Îles-de-la-Madeleine, Quebec",,22,1,,,
2,"Inuvik/Mike Zubko, Northwest Territories",,23,1,,,
2,"Iqaluit, Nunavut",,24,1,,,
2,"Kamloops, British Columbia",,25,1,,,
2,"Kenora, Ontario",,26,1,,,
2,"Kingston, Ontario",,27,1,,,
2,"Kuujjuaq, Quebec",,28,1,,,
2,"Kuujjuarapik, Quebec",,29,1,t,,
2,"La Grande Rivière, Quebec",,30,1,,,
2,"La Ronge, Saskatchewan",,31,1,,,
2,"Lethbridge, Alberta",,32,1,,,
2,"Lloydminster, Alberta",,33,1,,,
2,"Medicine Hat, Alberta",,34,1,,,
2,"Mont-Joli, Quebec",,35,1,,,
2,"Nanaimo, British Columbia",,36,1,,,
2,"Norman Wells, Northwest Territories",,37,1,,,
2,"North Bay, Ontario",,38,1,,,
2,"Ottawa/Gatineau, Quebec",,39,1,,,
2,"Peace River, Alberta",,40,1,,,
2,"Penticton, British Columbia",,41,1,,,
2,"Port Hardy, British Columbia",,42,1,,,
2,"Prince Albert, Saskatchewan",,43,1,,,
2,"Prince Rupert, British Columbia",,44,1,t,,
2,"Rankin Inlet, Nunavut",,45,1,,,
2,"Red Deer Regional, Alberta",,46,1,,,
2,"Resolute Bay, Nunavut",,47,1,t,,
2,"Roberval, Quebec",,48,1,t,,
2,"Rouyn-Noranda, Quebec",,49,1,,,
2,"Saint John, New Brunswick",,50,1,,,
2,"Schefferville, Quebec",,51,1,t,,
2,"Sept-Îles, Quebec",,52,1,,,
2,"Sioux Lookout, Ontario",,53,1,,,
2,"Smithers, British Columbia",,54,1,,,
2,"St. Anthony, Newfoundland and Labrador",,55,1,t,,
2,"St. Catharines, Ontario",,56,1,,,
2,"Sydney, Nova Scotia",,57,1,t,,
2,"Terrace, British Columbia",,58,1,,,
2,"Thompson, Manitoba",,59,1,,,
2,"Timmins, Ontario",,60,1,,,
2,"Val-d'Or, Quebec",,61,1,,,
2,"Victoria Harbour, British Columbia",,62,1,,,
2,"Wabush, Newfoundland and Labrador",,63,1,,,
2,"Whitecourt, Alberta",,64,1,,,
2,"Williams Lake, British Columbia",,65,1,,,
2,"Yarmouth, Nova Scotia",,66,1,t,,
2,"Sudbury, Ontario",,67,1,,,
2,"Montréal/Mirabel International, Quebec",,68,1,,,
3,"Domestic movements",,1,,,,
3,"Transborder movements",,2,,,,
3,"Other international movements",,3,,,,
4,"Total itinerant movements",,1,,,,
4,"Air carrier movements, level I-III including foreign air carriers",,2,1,,,
4,"Air carrier movements, level IV-VI",,3,1,,,
4,"Other commercial movements",,4,1,,,
4,"Private movements",,5,1,,,
4,"Government civil movements",,6,1,,,
4,"Government military movements",,7,1,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
2715,"Aircraft Movement Statistics"

"Subject Code","Subject Name"
23,Transportation

"Note ID",Note
1,"International movements are subclassified into transborder movements (to or from a point in the United States including Alaska but excluding Hawaii) and other international movements (to or from points in countries other than Canada and the United States)."
2,"More recent data for 2018 for this table can be found through the summation of the monthly data found in 23-10-0015-01.
"

"Correction ID","Correction Date","Correction Note"


